Residence Time (min),Tyrosine ratio,k1,k2,area,area_k1-,area_k1+,area_k2-,area_k2+,Sens_area_k1,Sens_area_k2
3.7,0.21,0.041735259,0.023014213,4.435891965,4.441129607,4.430679801,4.436950485,4.434843097,-12.5191585,-4.57844824
3.4,0.83,0.040080259,0.096418805,0.51024448,0.513584436,0.506940017,0.510604308,0.509886625,-8.28889235,-0.372169622
8.2,0.4,0.015728181,0.046282225,5.292284709,5.313042328,5.271715667,5.297576632,5.287069098,-131.3777496,-11.35158693
9.1,0.69,0.071192146,0.092014155,0.153776987,0.157323252,0.150343611,0.154730468,0.152862259,-4.901974023,-1.015174787
5.9,0.24,0.023172824,0.095303387,5.98495189,5.997748175,5.972245572,5.98765298,5.982316085,-55.02696391,-2.79995032
9.8,0.48,0.059388332,0.085329125,1.077850751,1.090763766,1.06481301,1.083347646,1.072622803,-21.84836256,-6.284397594
3.1,0.39,0.058477966,0.090815498,2.237695106,2.244827637,2.230617354,2.239491128,2.235905342,-12.15011727,-1.974214804
6.1,0.9,0.073906556,0.012590768,0.075212118,0.077019504,0.073454848,0.075236685,0.075187528,-2.411596615,-0.195210485
7.7,0.33,0.084808025,0.023671976,3.949849845,3.960791279,3.939126359,3.957880345,3.941874373,-12.77291866,-33.80784905
6,0.52,0.075795326,0.0671668,1.164289576,1.175431882,1.153291895,1.167999274,1.160609937,-14.60511361,-5.500736188
3.5,0.74,0.017838811,0.080443337,1.192812983,1.196338235,1.189302519,1.193299331,1.192330582,-19.72024929,-0.602131283
2.8,0.26,0.069491875,0.08888812,2.837636258,2.843065901,2.832252312,2.839160468,2.836125523,-7.780470017,-1.707171327
1.2,0.48,0.080084457,0.062925648,0.939509798,0.941039625,0.937985135,0.93962325,0.939396481,-1.907042958,-0.180188053
9,0.08,0.06058049,0.035136859,12.64909119,12.65251661,12.64694532,12.65219251,12.64644613,-4.598254332,-8.177139571
7.6,0.85,0.016691767,0.098803951,0.70956102,0.716237673,0.702967127,0.710800737,0.708330065,-39.75177137,-1.250290085
8.8,0.53,0.053794926,0.032555967,1.405958998,1.420489175,1.39173825,1.41071394,1.401275661,-26.72271087,-14.49546701
3.2,0.64,0.066522129,0.026743281,1.034381533,1.040449141,1.028363421,1.034850589,1.033913307,-9.083984726,-1.752369105
2.5,0.35,0.050240895,0.086815808,2.288490996,2.293094554,2.283909952,2.289528752,2.287457075,-9.140563597,-1.193145039
4.2,0.29,0.022170757,0.025028193,4.518909365,4.525291018,4.51255341,4.520114587,4.517703436,-28.72614632,-4.816869908
7.3,0.85,0.066753652,0.012971264,0.119628762,0.1224887,0.116816977,0.119705889,0.119553004,-4.248249227,-0.58932191
9,0.51,0.099828447,0.026183853,0.899246879,0.909274084,0.889460553,0.90320862,0.895322774,-9.923790049,-15.05860485
5,0.65,0.052559697,0.075905989,0.95049894,0.959454933,0.941664373,0.952470432,0.948546929,-16.92414626,-2.584448899
4.7,0.28,0.03679375,0.048980509,4.412177911,4.421994269,4.402437539,4.415018633,4.409351981,-26.5761579,-5.784598905
2.4,0.59,0.02683961,0.068172268,1.427606493,1.43043099,1.424793453,1.427956285,1.427257498,-10.50227077,-0.512515587
4.5,0.22,0.041187452,0.042660007,4.923664143,4.931608071,4.915794062,4.926109187,4.921241463,-19.1976056,-5.705254585
4.3,0.4,0.099021029,0.051741583,2.066877453,2.076434678,2.057440225,2.070250067,2.063522103,-9.591120826,-6.501505774
2.3,0.16,0.018483781,0.076652787,3.327936898,3.329179258,3.32669858,3.328159522,3.327715881,-6.710418183,-0.289383475
6.9,0.36,0.031102645,0.043809022,4.395818124,4.412993955,4.378818151,4.401204695,4.390469047,-54.94034981,-12.25278196
9.2,0.18,0.072285982,0.04714797,8.462455304,8.469553079,8.45483172,8.468750849,8.455364757,-10.18272051,-14.19583082
5.1,0.38,0.050635557,0.078544105,2.894993245,2.907983543,2.882144645,2.899038999,2.890979614,-25.51457852,-5.130483704
4,0.71,0.048688191,0.038357984,0.916659853,0.923176026,0.910203116,0.917333955,0.915987382,-13.32243991,-1.755270841
9.5,0.46,0.057557339,0.07200376,1.420636433,1.436259656,1.405678802,1.426791102,1.41481347,-26.5655556,-8.317365683
7.9,0.42,0.012467964,0.016670015,5.778944135,5.795335959,5.762663433,5.78226205,5.775615324,-131.0259112,-19.93617232
7.2,0.6,0.091814861,0.074610865,0.399811895,0.406376635,0.393402964,0.40188054,0.397768998,-7.065125896,-2.755323922
6.6,0.78,0.084000552,0.037561532,0.164309754,0.167896283,0.160781309,0.164648997,0.163970766,-4.23507573,-0.902826582
1.9,0.61,0.035360314,0.036818178,1.101227764,1.103227189,1.099236153,1.101347749,1.101107948,-5.643383139,-0.325655714
5.2,0.92,0.019388781,0.020214302,0.388419165,0.390852911,0.385996781,0.388477301,0.388361061,-12.52304104,-0.287519199
1.3,0.07,0.044038161,0.087643004,2.132236553,2.132558907,2.131917006,2.132282439,2.132190207,-0.728800877,-0.052618005
2.1,0.87,0.049071765,0.040186841,0.319552635,0.320882383,0.318229333,0.319584494,0.319520779,-2.703234729,-0.079273461
8.6,0.13,0.055201388,0.053638817,10.03809727,10.04501203,10.03156394,10.04218234,10.03443565,-12.18093472,-7.221160405
8.9,0.66,0.020194675,0.073676085,1.549305208,1.565103263,1.533681676,1.55293559,1.545723934,-77.79671197,-4.894163446
9.6,0.05,0.035179666,0.027804057,15.02127404,15.02440983,15.01766108,15.02273428,15.0189969,-9.591833585,-6.720925546
5.4,0.3,0.068797283,0.065161476,3.618068245,3.629857011,3.606420419,3.62304611,3.613113029,-17.03307956,-7.62189688
4.4,0.49,0.093013433,0.050208338,1.432950649,1.442582874,1.423431572,1.435552326,1.430363698,-10.29491187,-5.167097962
2,0.81,0.045936288,0.01597527,0.48046827,0.482079282,0.478865027,0.480490222,0.480446322,-3.498601138,-0.137399866
5.8,0.58,0.015243526,0.032495016,2.897920465,2.90835106,2.887568986,2.899754278,2.896118085,-68.16688658,-5.595001035
2.2,0.42,0.021153488,0.021872646,2.085932757,2.08784649,2.084023275,2.086058607,2.085807184,-9.036842804,-0.574743003
4.7,0.88,0.038701866,0.030486947,0.353357554,0.356796934,0.34994538,0.353498828,0.353216438,-8.851710129,-0.463132628
5.4,0.78,0.081174436,0.070775158,0.23045857,0.234555562,0.226446855,0.231021441,0.229900255,-4.994618645,-0.792075947
7.4,0.44,0.054497465,0.099692409,1.891303967,1.907521348,1.875333907,1.896359679,1.88633117,-29.53113601,-5.029725475
7.8,0.73,0.027794989,0.072182556,0.87628093,0.886605801,0.866106184,0.878601294,0.873963838,-36.87646245,-3.212310743
10,0.11,0.087335302,0.093558041,12.16667867,12.15591294,12.15071511,12.155684,12.15237661,-2.975789799,-1.767560527
3.6,0.27,0.089248432,0.077519031,3.062613965,3.070128587,3.055177402,3.065445075,3.05981005,-8.376161171,-3.634607477
4.1,0.44,0.034258434,0.066275596,2.686164477,2.695388546,2.67699146,2.688314104,2.683989504,-26.85044783,-3.262588527
2.9,0.45,0.024319874,0.018899529,2.408586461,2.412310385,2.404871705,2.40887217,2.408301122,-15.29341833,-1.510746674
8,0.72,0.024522279,0.056136742,1.101899237,1.113539117,1.090451554,1.104391528,1.099425733,-47.0746692,-4.422945454
6.3,0.07,0.082410975,0.017588568,9.46519316,9.467094837,9.463427865,9.467387851,9.463090963,-2.224808035,-12.2150025
8.4,0.82,0.060369312,0.106647136,0.09622983,0.098650909,0.113147698,0.096661684,0.095810767,-3.9844,-0.4627
8.3,0.24,0.014147775,0.075485636,8.360683764,8.37909248,8.342346459,8.363739827,8.357551497,-129.8650172,-4.099011649
7,0.37,0.063778663,0.048296904,3.024346701,3.039187007,3.009736052,3.031097561,3.017676089,-23.08840738,-13.89475405
